fips,state,state_abbrev,fy,TotalStateSupport,TotalFinancialAid,GeneralPublicOperations,NetTuitionandFeeRevenue,NetFTEEnrollment
13,Georgia,GA,2013,2607128639,522116598,1798831413,1428752143,355866
13,Georgia,GA,2014,2775561943,552094850,1925127296,1461830137,348844
13,Georgia,GA,2015,2898821290,590416261,1998371638,1532088734,345467
13,Georgia,GA,2016,3058513508,636441550,2099701136,1623248637,346741
13,Georgia,GA,2017,3238163528,658304672,2225525910,1656434132,348606
13,Georgia,GA,2018,3488577527,696880439,2402168163,1654826999,351519
13,Georgia,GA,2019,3673135156,749059909,2522368648,1630492845,356348
13,Georgia,GA,2020,3847028885,805639277,2630218395,1683910984,360193
13,Georgia,GA,2021,3678960573,842625353,2418466551,1623983258,356921
13,Georgia,GA,2022,4787803437,842527256,2760685394,1669573936,348450
13,Georgia,GA,2023,4960518580,870724598,3203866455,1640331589,348477
13,Georgia,GA,2024,4839492725,970858226,3357742416,1642943790,366748
16,Idaho,ID,2001,323623500,2498700,297113700,91812275,39495
16,Idaho,ID,2002,362302500,5938700,329253800,73129275,41593
16,Idaho,ID,2003,336641700,7369500,304264400,99837062,43104
16,Idaho,ID,2004,339515800,7310000,306997900,113029246,45184
16,Idaho,ID,2005,350879700,7770500,316719800,133646167,45024
16,Idaho,ID,2006,363077200,7896339,327560061,132226700,44504
16,Idaho,ID,2007,375281600,7503716,341783884,145235800,43378
16,Idaho,ID,2008,410595600,9462538,374000762,135379600,43968
16,Idaho,ID,2009,416493100,9694300,376698200,145888390,44705
16,Idaho,ID,2010,369722800,6901499,331878701,181354770,49251
16,Idaho,ID,2011,347376657,5934857,323939800,207545860,53201
16,Idaho,ID,2012,334633399,7627099,315052500,254634678,58980
16,Idaho,ID,2013,360079309,6671809,342222900,293802603,57837
16,Idaho,ID,2014,374203132,6282433,355796099,316391800,56177
16,Idaho,ID,2015,401200090,6455590,380346900,359205131,54102
16,Idaho,ID,2016,418879305,6553805,394885600,361895109,52744
16,Idaho,ID,2017,460623492,12026692,428404300,373865879,53116
16,Idaho,ID,2018,481074380,13794218,445707662,369157678,53572
16,Idaho,ID,2019,506520681,18796081,465901100,357973682,54421
16,Idaho,ID,2020,528187156,22021956,480356400,398865569,55155
16,Idaho,ID,2021,598142727,21303392,487758300,411545178,53699
16,Idaho,ID,2022,555442011,22220992,506382461,440507497,53977
16,Idaho,ID,2023,651690824,24366319,542950241,442291265,54261
16,Idaho,ID,2024,659353335,24404763,599156707,447493674,55784
17,Illinois,IL,2001,2719733400,379242812,2474348560,611762328,323876
17,Illinois,IL,2002,2904184000,401728300,2605919636,676544917,335188
17,Illinois,IL,2003,2716756400,364825100,2521994945,793786800,348182
17,Illinois,IL,2004,2682059000,362175800,2529832326,907364644,356961
17,Illinois,IL,2005,2685920700,365452804,2575677428,1041851602,356798
17,Illinois,IL,2006,2640436585,369779884,2579276597,1068731217,356491
17,Illinois,IL,2007,2848129600,442851200,2746612897,1166887243,357931
17,Illinois,IL,2008,3087877559,391762392,3146173733,1464993648,358679
17,Illinois,IL,2009,3203555376,387048300,3236048858,1587322553,368019
17,Illinois,IL,2010,3684064394,389327032,3666784149,1789555277,391926
17,Illinois,IL,2011,3603549212,391426017,3710693147,1947496354,393313
17,Illinois,IL,2012,3832385769,414369586,3925693349,2027827593,384615
17,Illinois,IL,2013,4292588457,379078443,4440345804,2203354191,373403
17,Illinois,IL,2014,4306995896,374596806,4427056410,2252844387,362508
17,Illinois,IL,2015,4385575551,368560855,4519241661,2354393292,351917
17,Illinois,IL,2016,3350027230,320728747,3733212376,2418538308,342422
17,Illinois,IL,2017,4608776759,351719631,4768725843,2402174480,327545
17,Illinois,IL,2018,4141202973,397390862,4337327752,2382295361,314565
