State,FY,Actual_Tax_Revenue,Total_State_Support,Education_ Appropriations,General_Public_Operations,Total_ Financial_Aid,Net_Tuition_and_Fee_Revenue,Net_ FTE_Enrollment,State_Public_Financial_Aid
Pennsylvania,2003,38322260000,1998020000,1777141000,1610305890,343092110,1713432664,315591,166835110
Rhode Island,2003,3811073000,175992129,172546294,169438085,6554044,153663438,26887,3108209
South Carolina,2003,9675646000,1051554033,808071197,663227534,199111115,495097611,137267,144843663
South Dakota,2003,1909790000,149665555,119541520,119452420,89100,114473635,28232,89100
Tennessee,2003,14398960000,1106888100,867236000,841179100,47207600,524676100,160535,26056900
Texas,2003,57029480000,4988201973,4071060917,4048650792,126798222,2275462734,766342,22410125
Utah,2003,5942856000,614007000,552879100,546357900,6741200,249524699,108386,6521200
Vermont,2003,1997223000,75125186,51418084,44929224,16706962,156773508,16843,6488860
Virginia,2003,22003880000,1427177000,1231571243,1156379535,112560003,915458440,254694,75191708
Washington,2003,19459310000,1375255000,1225680000,1117026000,132998000,463228000,220677,108654000
West Virginia,2003,4681030000,434393834,308464804,288624299,24978116,199790396,67374,19840505
Wisconsin,2003,18328290000,1211788000,1453175231,1398714056,76564875,571884609,209599,54461175
Wyoming,2003,1985978000,193065410,193404500,184128738,9275762,48893389,21774,9275762
U.S.,2003,9.01E+11,63429705844,58474230536,55144354899,5305240906,27619490974,9532846,3329875637
Alabama,2002,9718827000,1115999450,816569084,801923341,20161655,610690910,173687,14645743
Alaska,2002,2069908000,202852867,182845322,182845322,1507300,41175582,16706,0
Arizona,2002,14420320000,940735189,1170922389,1167391389,6866500,516495600,201660,3531000
Arkansas,2002,6460855000,635740600,500540745,470483921,30056824,207877204,92722,30056824
California,2002,1.20E+11,9416217450,10077667841,9685261879,630896171,1219015051,1409319,392405962
Colorado,2002,13900020000,733277701,644928314,573140338,80352481,503523023,147724,71787976
Connecticut,2002,15124930000,916189034,775818357,753334534,43478249,268256137,64183,22483823
Delaware,2002,2687098000,185400000,185400000,175111000,10289000,215100000,26775,10289000
Florida,2002,44840450000,3061544636,2623736626,2396050520,340879793,927176999,442010,227686106
Georgia,2002,24058380000,2307851766,1953117347,1665115228,326038043,320939597,259566,288002119
Hawaii,2002,4239557000,349231000,270527000,270241000,1250000,64734000,33063,286000
Idaho,2002,3291095000,362302500,334792625,329253800,5938700,73129275,41593,5538825
Illinois,2002,41569580000,2904184000,2817631836,2605919636,401728300,676544917,335188,211712200
Indiana,2002,16986640000,1198057683,968807683,896961683,128187000,872058000,204002,71846000
Iowa,2002,8330414000,786639971,651921501,646430427,54330406,428498278,110834,5491074
Kansas,2002,7974975000,712131059,671538049,664139901,14259076,273799509,104341,7398148
Kentucky,2002,10780760000,1084606000,915401500,894298900,29794600,377010200,131313,21102600
Louisiana,2002,12182070000,1140954119,892170826,799810106,102874047,289988341,172092,92360720
Maine,2002,4541146000,236611726,208327822,200252230,12423988,127286716,30560,8075592
Maryland,2002,19874280000,1313666516,1276324694,1222470411,70256722,773791846,174136,53854283
Massachusetts,2002,23895440000,1069051324,980055691,928529010,100793976,459973000,133875,51526681
Michigan,2002,30644180000,2273500000,2380700000,2244400000,238900000,1522258375,350261,136300000
Minnesota,2002,18456410000,1397800000,1142058263,1067016263,140708737,501369000,171287,75042000
Mississippi,2002,6523722000,733301000,553488176,527445182,31114645,283467609,107110,26042994
Missouri,2002,15123430000,877690838,928402986,902595899,44783968,415882706,163408,25807087
Montana,2002,2135182000,149837689,136484282,133111238,3373044,106225480,34333,3373044
Nebraska,2002,5316341000,512800000,388200000,385548232,2651768,185186718,67683,2651768
Nevada,2002,6432564000,387290920,351418808,311294069,40124739,99826403,49953,40124739
New Hampshire,2002,3598862000,103347000,90178226,88220048,2760953,205200000,27455,1958178
New Jersey,2002,34628800000,1796251497,1447189250,1325538542,183270497,920064316,188839,121650708
New Mexico,2002,4877614000,514547400,474880500,435336126,41604374,66103410,68579,39544374
New York,2002,88878110000,3360520525,3199188362,2883886362,563302000,1345769328,463185,315302000
North Carolina,2002,22576420000,2442690000,2019063000,1956363000,183775000,551352000,286494,62700000
North Dakota,2002,1728755000,201497115,158443695,157354695,1417764,90077588,33249,1089000
Ohio,2002,36165190000,2075801500,1777471519,1712618205,112263719,1444867695,353571,64853314
Oklahoma,2002,8781889000,824243012,695362676,665052646,33122441,140083644,128530,30310030
Oregon,2002,9003237000,638882440,618216195,601960136,19868091,399381715,120210,16256059
Pennsylvania,2002,37626620000,2011695000,1789220000,1630184116,335388884,1802201100,293742,159035884
Rhode Island,2002,3622244000,180551055,177472666,174473598,6077457,139911817,26677,2999068
South Carolina,2002,9751702000,817379042,600616839,544112559,95746360,447619415,136300,56504280
South Dakota,2002,1841448000,143331961,102999284,117042145,89100,89497977,22573,89100
Tennessee,2002,12973770000,1071510500,851009750,817012400,42193600,475145475,158279,33997350
Texas,2002,58980510000,5295546843,4197788899,4175312326,119257607,2098693705,704310,22476573
Utah,2002,6026142000,593641100,529243337,522628537,6824800,189461595,98654,6614800
Vermont,2002,1965132000,71128603,49170254,43028885,15862670,154998104,16379,6141369
Virginia,2002,22131250000,1681646000,1457459647,1384940477,119025170,702005680,246637,72519170
Washington,2002,19513500000,1349300000,1193225000,1095932000,119617000,398739000,213147,97293000
West Virginia,2002,4641349000,437204731,308215890,292465890,20084116,186620264,64799,15750000
Wisconsin,2002,18609920000,1194900000,1416681280,1365025480,73220400,520446519,204123,51655800
Wyoming,2002,1818368000,163429717,163602323,152971463,10630860,44321052,20874,10630860
U.S.,2002,9.02E+11,63974510079,58116496359,55041835095,5019422595,24773841875,9125990,3088793225
Alabama,2001,9829538000,1088445747,803362761,788859926,20435165,592027659,165833,14502835
Alaska,2001,2508728000,192093900,172191820,172191820,1444000,38349393,16079,0
Arizona,2001,13548790000,898839000,1083366700,1079835700,6765400,508361000,194629,3531000
Arkansas,2001,6297800000,618127000,476590507,446388847,30201660,161918646,87337,30201660
California,2001,1.31E+11,8904961550,9390676790,9009028548,607930202,1137709217,1322308,381648242
Colorado,2001,14056340000,717406443,640763232,574762206,73509351,455996844,141492,66001026
Connecticut,2001,15266040000,859639833,728119450,705795742,43548776,247509268,60976,22323708
Delaware,2001,2564601000,184700000,184700000,175246800,9453200,215935800,28944,9453200
Florida,2001,42119870000,3124964661,2674601779,2457581429,326615901,817660516,420957,217020350
Georgia,2001,24568380000,2293708414,1932022408,1688498574,278307588,342297675,234998,243523834
Hawaii,2001,4329569000,339025000,267812000,267526000,286000,65089031,31810,286000
Idaho,2001,3564301000,323623500,299412525,297113700,2498700,91812275,39495,2298825
Illinois,2001,41353580000,2719733400,2671997663,2474348560,379242812,611762328,323876,197649103
Indiana,2001,16310060000,1283197000,1061757000,994132000,119992000,751090000,193130,67625000
Iowa,2001,8063868000,851184070,706672754,703341508,54302337,383667323,105545,3331246
Kansas,2001,7882598000,683084000,647711318,640861839,13271349,256982649,100476,6849479
Kentucky,2001,10372710000,1001625000,837216200,816592200,29115600,354995900,119500,20624000
Louisiana,2001,11872910000,1007996023,789252289,708202397,89764951,281940713,168121,81049892
Maine,2001,4360700000,226587350,198847419,190575172,12726534,117667360,29287,8272247
Maryland,2001,18895730000,1293800966,1255251377,1208555655,61415256,742194906,175085,46695722
Massachusetts,2001,25827760000,1131804500,1069989063,1011615142,78841052,436900000,128404,58373921
Michigan,2001,30622870000,2231600000,2274300000,2143600000,226000000,1378780121,333584,130700000
Minnesota,2001,18825790000,1315100000,1073680226,1002295226,132142774,453718000,167238,71385000
Mississippi,2001,6337399000,791445655,582858999,553528809,34750111,228079693,102490,29330190
Missouri,2001,14516330000,1007745089,1052465926,1028007781,44220037,399148848,156588,24458145
Montana,2001,2267035000,141721881,129894938,126882874,3012064,97784630,33660,3012064
Nebraska,2001,5206924000,489500000,345400000,343304635,2095365,168647918,65725,2095365
Nevada,2001,5926995000,347634743,316152222,285107338,31044884,91020299,48107,31044884
New Hampshire,2001,4492065000,107600000,102544191,101812186,1487815,193500000,26506,732005
New Jersey,2001,35927090000,1697183546,1369876032,1257709101,174027546,862253135,178671,112166931
New Mexico,2001,5146367000,473132550,429157400,394167147,37131203,61426001,66847,34990253
New York,2001,95323740000,3242034624,3068933559,2774257559,542704105,1294052432,449959,294676000
North Carolina,2001,21814800000,2398489000,1974391000,1929910000,151034000,461343000,266217,44481000
North Dakota,2001,1755919000,185659323,146163091,145159106,1130837,99066007,31922,1003985
Ohio,2001,34424460000,2172147806,1870854853,1812559177,98606726,1295401171,337379,58295676
Oklahoma,2001,9007533000,837480903,711600707,687721808,26523992,192938712,121111,23878899
Oregon,2001,9445310000,656966255,621415435,606005777,17724451,347455555,111006,15409658
Pennsylvania,2001,36781670000,2005365000,1780225000,1626654126,317923874,1691601859,288334,153570874
Rhode Island,2001,3785212000,169006383,165943600,162842878,6163505,130586601,25622,3100722
South Carolina,2001,9500903000,863809806,656912202,616582118,74351364,386376970,132404,40330084
South Dakota,2001,1850897000,136041582,97225003,110977485,89100,82904661,22064,89100
Tennessee,2001,13010180000,1045546400,821941900,796434300,31657600,415345000,159838,25507600
Texas,2001,55926800000,4697588163,3718543981,3710787652,75199674,1914899853,667534,7756329
Utah,2001,6040027000,554027666,494949077,489916377,5232671,179486324,91953,5032700
Vermont,2001,2249407000,66777192,46001650,40616271,14537921,148062996,15914,5385379
Virginia,2001,22164960000,1629776000,1410002021,1335482851,118465170,671445468,236014,74519170
Washington,2001,18693950000,1314500000,1164262000,1071455000,112244000,358705000,204663,92807000
West Virginia,2001,4464591000,409438327,283540948,268315948,19080486,162498647,62902,15225000
Wisconsin,2001,17516870000,1170100000,1366958357,1318031057,69965900,476537300,196523,48927300
Wyoming,2001,1822894000,150332680,149844454,137980441,11864013,41378670,20198,11864013
U.S.,2001,9.09E+11,62052297931,56118353827,53289158793,4620079022,22896313374,8709255,2843036616
