State,FY,Actual_Tax_Revenue,Total_State_Support,Education_ Appropriations,General_Public_Operations,Total_ Financial_Aid,Net_Tuition_and_Fee_Revenue,Net_ FTE_Enrollment,State_Public_Financial_Aid
Connecticut,2017,27628030000,1252648592,959695990,929859506,35618446,1052572485,90404,29836484
Delaware,2017,4678293000,234722700,224940884,210854784,15309359,632084404,35554,14086100
Florida,2017,77640200000,4552475446,3917763966,3581693035,504418703,1953472168,597279,336070931
Georgia,2017,39203760000,3238163528,2815093582,2225525910,658304672,1656434132,348606,589567672
Hawaii,2017,9457286000,667478019,565921439,562636450,4447555,236930173,36827,3284989
Idaho,2017,6350908000,460623492,439232995,428404300,12026692,373865879,53116,10828695
Illinois,2017,73640180000,4608776759,4958931644,4768725843,351719631,2402174480,327545,190205801
Indiana,2017,26360720000,1745379182,1424748597,1183632650,323415127,2235988798,248664,241115947
Iowa,2017,15700140000,829402839,679169655,671524559,58960750,1186507395,132505,7645096
Kansas,2017,13484800000,769175109,787739972,776755497,19835387,868449701,134716,10984475
Kentucky,2017,17347300000,1152881400,931654800,772866400,229571800,1187450626,147168,158788400
Louisiana,2017,19994450000,1083387063,780920974,560562119,237767170,816145677,160057,220358855
Maine,2017,7052156000,302209455,262550705,243199760,22778680,236151751,34287,19350945
Maryland,2017,37692890000,1963481407,2005144948,1917350159,105008282,1907029797,232963,87794789
Massachusetts,2017,45061500000,1544319564,1448636789,1387777981,99321583,1112534584,165736,60858808
Michigan,2017,42330300000,1877039600,2254640838,2249319510,9456800,4463566427,378402,5321328
Minnesota,2017,34399980000,1543313000,1286903883,1166786183,185615491,1638274845,189951,120117700
Mississippi,2017,10930390000,1020276906,776209817,742031204,38957402,784895485,134538,34178613
Missouri,2017,23337100000,1011797327,1111284184,1008893801,129613525,1010249623,195255,102390383
Montana,2017,4177710000,249254902,219527060,217208040,2319020,252541020,38078,2319020
Nebraska,2017,9790380000,753553849,713002989,698087813,19357149,467161333,76899,14915176
Nevada,2017,13416670000,658623991,574597763,486931992,87665771,299896975,74913,87665771
New Hampshire,2017,6687676000,127683445,114618722,112135336,2483386,417914977,38156,2483386
New Jersey,2017,63027750000,2287839927,2086434927,1789567000,431318927,2836867677,268944,296867927
New Mexico,2017,8172651000,918359390,918441070,831986680,88640343,225272356,89020,86454390
New York,2017,1.78E+11,5735129034,6006112632,5337896632,957258000,3338559762,549948,668216000
North Carolina,2017,40674660000,3987770834,3433682958,3291417460,311793526,1805779020,389604,142265498
North Dakota,2017,4913077000,419650340,320519347,304780420,18788188,296601267,35743,15738927
Ohio,2017,53974600000,2303647976,2185397000,2107002182,129261584,3110142112,390840,78394818
Oklahoma,2017,13616480000,931004515,823390352,724222212,109990152,811893616,133682,99168140
Oregon,2017,19598040000,816745525,828496801,750104687,83460941,1258257418,150305,78392114
Pennsylvania,2017,66535000000,1693108000,1528122928,1318227205,383830801,3687407567,350919,209895723
Rhode Island,2017,5932950000,188739813,186771160,179053347,9686466,281878220,31569,7717813
South Carolina,2017,17555480000,1094964380,932644027,663067868,362623595,1563862646,167414,269576159
South Dakota,2017,3649764000,238612300,191925628,186100280,7042979,249308916,32295,5825348
Tennessee,2017,22118440000,1813499442,1420751848,1036937502,474474300,1081306475,182223,383814346
Texas,2017,1.18E+11,7922848937,7473475102,7046697064,559331255,6525863086,1030211,426778038
Utah,2017,12594590000,978663600,890097829,868293329,22118241,742019725,123075,21804500
Vermont,2017,3748643000,90108125,60437515,50548742,20206454,352552068,20638,9888773
Virginia,2017,40514770000,2051845077,1770468112,1550070050,286400727,2415901927,305307,220398062
